name,latitude,longitude,altitude_km,dist_from_equator,risk_level
CALSPHERE 1,-6.789613800118621,-74.57730707643667,1000.0045736770328,6.789613800118621,Low
CALSPHERE 2,-86.13878445285691,112.72433833416434,1081.9771953711459,86.13878445285691,High
LCS 1,13.281683691240264,46.90944822370926,2795.513372337238,13.281683691240264,Medium
TEMPSAT 1,78.01295478133805,-104.70063685286684,1183.9666563816713,78.01295478133805,High
CALSPHERE 4A,54.47634195020736,168.1131632666726,1082.5366248588784,54.47634195020736,High
OPS 5712 (P/L 160),-68.10415146659756,-155.197193077919,681.7757129475776,68.10415146659756,High
LES-5,0.6147527953438356,-48.387151670524155,33225.646369193935,0.6147527953438356,Low
SURCAL 159,60.044809364090064,165.20849173420788,911.7821742642,60.044809364090064,High
OPS 5712 (P/L 153),-26.082021463542265,-133.19237291193375,908.0634028100164,26.082021463542265,Medium
SURCAL 150B,-39.13036489212194,5.6699994876428725,500.15117401591107,39.13036489212194,Medium
OPS 3811 (DSP 2),0.42342488845359366,6.181126933302675,36318.70383244154,0.42342488845359366,Low
RIGIDSPHERE 2 (LCS 4),17.446902717527255,125.36468867186215,727.2902674241369,17.446902717527255,Medium
OSCAR 7 (AO-7),57.409279401853986,-172.64535952119306,1454.0024353432887,57.409279401853986,High
STARLETTE,10.08172430546216,-9.383311933062854,988.9805816520602,10.08172430546216,Medium
LAGEOS 1,-29.561800089933204,-97.97628732832236,5956.791592185935,29.561800089933204,Medium
OPS 8701 (DSP 10),-7.344179585118956,-52.38027329487985,36372.01751237771,7.344179585118956,Low
PHASE 3B (AO-10),-8.421861206103621,161.81197595545552,35075.436976456316,8.421861206103621,Low
UOSAT 2 (UO-11),-12.128009356174607,-12.888250950686103,610.1100698712794,12.128009356174607,Medium
AJISAI (EGS),-25.538082761525196,-126.8464434588771,1486.1389260828237,25.538082761525196,Medium
TDRS 3,-12.450377786931853,-48.72958231404914,35716.68872106265,12.450377786931853,Medium
COSMOS 1989 (ETALON 1),-61.197190801702995,68.30650057063296,19125.473592505223,61.197190801702995,High
COSMOS 2024 (ETALON 2),15.843051186495558,13.12864062184021,19170.48590479233,15.843051186495558,Medium
FLTSATCOM 8 (USA 46),12.54914043732482,125.5657807673514,35772.348682058444,12.54914043732482,Medium
LUSAT (LO-19),-54.42822815231401,-138.8254803412711,799.5381120955309,54.42822815231401,High
HST,-13.295910434933948,-12.800079695359734,492.5335309976742,13.295910434933948,Medium
SKYNET 4C,-0.2978706449933306,33.31794159690578,35783.625455852634,0.2978706449933306,Low
USA 65 (DSP 15),-14.239656977747906,-58.13143448558492,36346.188414770506,14.239656977747906,Medium
TDRS 5,6.267255074553438,-167.115703545981,35791.8802424334,6.267255074553438,Low
USA 75 (DSP 16),-1.3484658461547756,25.050411912894656,36099.271104882755,1.3484658461547756,Low
LAGEOS 2,52.531789277080286,-78.55349848094026,5731.221037508316,52.531789277080286,High
TDRS 6,-14.18445451900887,-45.5718278987907,35797.537113900216,14.18445451900887,Medium
SCD 1,-22.80572934474274,-83.56831433392892,745.5970130293523,22.80572934474274,Medium
UFO 2 (USA 95),-3.8410333895038185,28.95771885841707,35784.283076469146,3.8410333895038185,Low
STELLA,41.65860055188919,87.10005491760212,806.8859050193835,41.65860055188919,Medium
EYESAT A (AO-27),79.00835371312058,135.86261121937088,795.7213042605375,79.00835371312058,High
ITAMSAT (IO-26),-0.9200370419630182,-96.01968390688593,791.8274896196475,0.9200370419630182,Low
USA 99 (MILSTAR-1 1),-4.677124565481367,-90.64833940024921,35794.31200073306,4.677124565481367,Low
RADIO ROSTO (RS-15),-40.6691715178509,-155.00563189095854,2097.084869527077,40.6691715178509,Medium
UFO 4 (USA 108),8.748641674988054,172.51755050923418,35775.71264849756,8.748641674988054,Low
TDRS 7,11.203372795249656,88.20024309802223,35738.29950193574,11.203372795249656,Medium
USA 115 (MILSTAR-1 2),-2.711097303471222,-120.32743096243138,35796.041859396806,2.711097303471222,Low
POLAR,-40.8673894482784,-95.84264659785951,17514.611747466948,40.8673894482784,Medium
